"Name","Family","Series","Form Factor","Launch Date","GPU Architecture","Hardware Raytracing","Lithography","Ray Accelerators","AI Accelerators","Stream Processors","Compute Units","Peak Engine Clock","Peak Half Precision (FP16 Vector) Performance","Peak Single Precision Matrix (FP32) Performance","Peak Single Precision (FP32 Vector) Performance","Peak Double Precision (FP64) Performance","Peak 4-bit Precision (INT4 Matrix) Performance","Peak 8-bit Precision (INT8 Matrix) Performance","Peak Half Precision (FP16 Matrix) Performance with Structured Sparsity","Peak Half Precision (FP16 Matrix) Performance","Peak 8-bit Precision (FP8 Matrix) Performance with Structured Sparsity (E5M2, E4M3)","Peak 8-bit Precision (FP8 Matrix) Performance (E5M2, E4M3)","Peak 4-bit Precision (INT4 Matrix) Performance with Structured Sparsity","Peak 8-bit Precision (INT8 Matrix) Performance with Structured Sparsity","Transistor Count","Solid State Graphics (SSG)","External Power Connectors","Total Board Power (TBP)","Minimum PSU Recommendation","Dedicated Memory Size","Dedicated Memory Type","AMD Infinity Cache Technology","Memory Interface","Memory Clock","Peak Memory Bandwidth","Memory ECC Support","GPU Form Factor","Bus Type","TGP","Cooling","DisplayPort™","HDMI™","DVI","VGA","Other Display Outputs","Display Configurations","HDR Support","8K Support","10K Support","12K Support","Board Height","Board Length","Board Width","10-bit Display Color Output","12-bit Display Color Output","3D Stereo Support","DirectX®","OpenGL®","OpenCL™","Vulkan®","OS Support","Supported Video Formats","Supported Technologies","TPP","TPP Density"
"AMD Radeon™ AI PRO R9700","Radeon AI PRO","Radeon AI PRO R9000 Series","Desktops","","AMD RDNA™ 4","","","64","128","4096","64","","47.8 TFLOPs","","47.8 TFLOPs","","766 TOPs","383 TOPs","383 TFLOPs","191 TFLOPs","766 TFLOPs","383 TFLOPs","1531 TOPs","766 TOPs","53.9 Billion","","12V-2x6","300W","750W","32 GB","GDDR6","64 MB","256-bit","","640 GB/s","Yes (Linux Only)","","PCIe® 5.0 x16","","Active","Configuration varies by partner design. GPU supports up to 4x display out.","","","","","Up to: 4x 4096 x 2160 (4K DCI) @ 120Hz with DSC, 2x 6144 x 3456 (6K) 12-bit HDR @ 60Hz Uncompressed, 2x 7680 x 4320 (8K) 12-bit HDR @ 60Hz with DSC, 1x 12288 x 6912 (12K) @ 120Hz with DSC","Yes","Yes","Yes","Yes","","","Double Slot","","","","","","","","Windows 10 - 64-Bit Edition , Windows 11 - 64-Bit Edition , Linux x86 64-Bit","H264 Encode and Decode , H265∕HEVC Encode and Decode , AV1 Encode & Decode","AMD Software Adrenalin Edition , AMD FSR™ ""Redstone"" , AMD Fluid Motion Frames , AMD Radeon™ Super Resolution , AMD Smart Access Memory , AMD Smart Access Video , AMD Radeon™ Boost , AMD Radeon™ Anti-Lag , AMD Radeon™ Image Sharpening 2 , AMD Enhanced Sync Technology , AMD FreeSync™ Technology , AMD Radeon™ Chill , AMD Virtual Super Resolution","3062","8.91"
"AMD Radeon™ AI PRO R9700S","Radeon AI PRO","Radeon AI PRO R9000 Series","Desktops","","AMD RDNA™ 4","","","64","128","4096","64","","47.8 TFLOPs","","47.8 TFLOPs","","766 TOPs","383 TOPs","383 TFLOPs","191 TFLOPs","766 TFLOPs","383 TFLOPs","1531 TOPs","766 TOPs","53.9 Billion","","12V-2x6","300W","750W","32 GB","GDDR6","64 MB","256-bit","","640 GB/s","Yes (Linux Only)","","PCIe® 5.0 x16","","Passive","Configuration varies by partner design. GPU supports up to 4x display out.","","","","","Up to: 4x 4096 x 2160 (4K DCI) @ 120Hz with DSC, 2x 6144 x 3456 (6K) 12-bit HDR @ 60Hz Uncompressed, 2x 7680 x 4320 (8K) 12-bit HDR @ 60Hz with DSC, 1x 12288 x 6912 (12K) @ 120Hz with DSC","Yes","Yes","Yes","Yes","","","Double Slot","","","","","","","","Windows 10 - 64-Bit Edition , Windows 11 - 64-Bit Edition , Linux x86 64-Bit","H264 Encode and Decode , H265∕HEVC Encode and Decode , AV1 Encode & Decode","AMD Software Adrenalin Edition , AMD Fluid Motion Frames , AMD Radeon™ Super Resolution , AMD Smart Access Memory , AMD Smart Access Video , AMD Radeon™ Boost , AMD Radeon™ Anti-Lag , AMD Radeon™ Image Sharpening 2 , AMD Enhanced Sync Technology , AMD FreeSync™ Technology , AMD Radeon™ Chill , AMD Virtual Super Resolution , AMD FSR™","3062","8.91"
"AMD Radeon™ AI PRO R9600","Radeon AI PRO","Radeon AI PRO R9000 Series","Desktops","","AMD RDNA™ 4","","","48","96","3072","48","","24.8 TFLOPs","","24.8 TFLOPs","","397 TOPs","199 TOPs","199 TFLOPs","99 TFLOPs","397 TFLOPs","199 TFLOPs","794 TOPs","397 TOPs","53.9 Billion","","12V-2x6","150W","450W","32 GB","GDDR6","64 MB","256-bit","","640 GB/s","Yes (Linux Only)","","PCIe® 5.0 x16","","Active","Configuration varies by partner design. GPU supports up to 4x display out.","","","","","Up to: 4x 4096 x 2160 (4K DCI) @ 120Hz with DSC, 2x 6144 x 3456 (6K) 12-bit HDR @ 60Hz Uncompressed, 2x 7680 x 4320 (8K) 12-bit HDR @ 60Hz with DSC, 1x 12288 x 6912 (12K) @ 120Hz with DSC","Yes","Yes","Yes","Yes","","","Single Slot","","","","","","","","Windows 10 - 64-Bit Edition , Windows 11 - 64-Bit Edition , Linux x86 64-Bit","H264 Encode and Decode , H265∕HEVC Encode and Decode , AV1 Encode & Decode","AMD Software Adrenalin Edition , AMD Fluid Motion Frames , AMD Radeon™ Super Resolution , AMD Smart Access Memory , AMD Smart Access Video , AMD Radeon™ Boost , AMD Radeon™ Anti-Lag , AMD Radeon™ Image Sharpening 2 , AMD Enhanced Sync Technology , AMD FreeSync™ Technology , AMD Radeon™ Chill , AMD Virtual Super Resolution , AMD FSR™","1589","4.62"
"AMD Radeon™ AI PRO R9600D","Radeon AI PRO","Radeon AI PRO R9000 Series","Desktops","","AMD RDNA™ 4","","","48","96","3072","48","","24.8 TFLOPs","","24.8 TFLOPs","","397 TOPs","199 TOPs","199 TFLOPs","99 TFLOPs","397 TFLOPs","199 TFLOPs","794 TOPs","397 TOPs","53.9 Billion","","12V-2x6","150W","450W","32 GB","GDDR6","64 MB","256-bit","","640 GB/s","Yes (Linux Only)","","PCIe® 5.0 x16","","Passive","Configuration varies by partner design. GPU supports up to 4x display out.","","","","","Up to: 4x 4096 x 2160 (4K DCI) @ 120Hz with DSC, 2x 6144 x 3456 (6K) 12-bit HDR @ 60Hz Uncompressed, 2x 7680 x 4320 (8K) 12-bit HDR @ 60Hz with DSC, 1x 12288 x 6912 (12K) @ 120Hz with DSC","Yes","Yes","Yes","Yes","","","Single Slot","","","","","","","","Windows 10 - 64-Bit Edition , Windows 11 - 64-Bit Edition , Linux x86 64-Bit","H264 Encode and Decode , H265∕HEVC Encode and Decode , AV1 Encode & Decode","AMD Software Adrenalin Edition , AMD Fluid Motion Frames , AMD Radeon™ Super Resolution , AMD Smart Access Memory , AMD Smart Access Video , AMD Radeon™ Boost , AMD Radeon™ Anti-Lag , AMD Radeon™ Image Sharpening 2 , AMD Enhanced Sync Technology , AMD FreeSync™ Technology , AMD Radeon™ Chill , AMD Virtual Super Resolution , AMD FSR™","1589","4.62"
"AMD Radeon™ PRO W7900 Dual Slot","Radeon PRO","Radeon PRO W7000 Series","Workstations","","AMD RDNA™ 3","Yes","TSMC 5nm GCD 6nm MCD","96","192","6144","96","","123 TFLOPs","","61.3 TFLOPs","","245 TOPs","123 TOPs","","123 TFLOPs","","","","","57.7 Billion","","2x8-Pin","295W","750W","48 GB","GDDR6","96 MB","384-bit","","864 GB/s","Yes","PCIe® Add-in Card","PCIe® 4.0 x16 (3.0 Backward Compatible)","","Active","3x DisplayPort™ 2.1 and 1x Enhanced Mini DisplayPort™ 2.1","","","","","4x 4096 x 2160 (4K DCI) @ 120Hz with DSC, 2x 6144 x 3456 (6K) 12-bit HDR @ 60Hz Uncompressed, 1x 7680 x 4320 (8K) 12-bit HDR @ 60Hz Uncompressed, 1x 12288 x 6912 (12K) @ 120Hz with DSC","Yes","Yes","Yes","Yes","Full Height","11"" (280 mm)","Double Slot","Yes","Yes","Yes","12.0 Ultimate","4.6","2.1","1.3","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , Linux x86 64-Bit","1x Encode & Decode (AV1) , 2x Decode (H265∕HEVC，4K H264) , 2x Encode (+AVI Encode and Decode)","AMD Viewport Boost , AMD Remote Workstation , AMD Radeon™ Media Engine , AMD Software PRO Edition , AMD Radeon™ VR Ready Creator , AMD Radeon™ ProRender","1966","3.89"
"AMD Radeon™ PRO W7900","Radeon PRO","Radeon PRO W7000 Series","Workstations","","AMD RDNA™ 3","Yes","TSMC 5nm GCD 6nm MCD","96","192","6144","96","","61.3 TFLOPs","","61.3 TFLOPs","","245 TOPs","123 TOPs","","123 TFLOPs","","","","","57.7 Billion","","2x8-Pin","295W","750W","48 GB","GDDR6","96 MB","384-bit","","864 GB/s","Yes","PCIe® Add-in Card","PCIe® 4.0 x16 (3.0 Backward Compatible)","","Active","3x DisplayPort™ 2.1 and 1x Enhanced Mini DisplayPort™ 2.1","","","","","4x 4096 x 2160 (4K DCI) @ 120Hz with DSC, 2x 6144 x 3456 (6K) 12-bit HDR @ 60Hz Uncompressed, 1x 7680 x 4320 (8K) 12-bit HDR @ 60Hz Uncompressed, 1x 12288 x 6912 (12K) @ 120Hz with DSC","Yes","Yes","Yes","Yes","Full Height","11"" (280 mm)","Triple Slot","Yes","Yes","Yes","12.0 Ultimate","4.6","2.1","1.3","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , Linux x86 64-Bit","1x Encode & Decode (AV1) , 2x Decode (H265∕HEVC，4K H264) , 2x Encode (+AVI Encode and Decode)","AMD Viewport Boost , AMD Remote Workstation , AMD Radeon™ Media Engine , AMD Software PRO Edition , AMD Radeon™ VR Ready Creator , AMD Radeon™ ProRender","1966","3.89"
"AMD Radeon™ PRO W7800 48GB","Radeon PRO","Radeon PRO W7000 Series","Workstations","","AMD RDNA™ 3","Yes","TSMC 5nm GCD 6nm MCD","70","140","4480","70","","45.2 TFLOPs","","45.2 TFLOPs","","181 TOPs","90.4 TOPs","","90.4 TFLOPs","","","","","57.7 Billion","","2x8-Pin","260W","700W","48 GB","GDDR6","96 MB","384-bit","","864 GB/s","Yes","PCIe® Add-in Card","PCIe® 4.0 x16 (3.0 Backward Compatible)","","Active","3x DisplayPort™ 2.1 and 1x Enhanced Mini DisplayPort™ 2.1","","","","","4x 4096 x 2160 (4K DCI) @ 120Hz with DSC, 2x 6144 x 3456 (6K) 12-bit HDR @ 60Hz Uncompressed, 1x 7680 x 4320 (8K) 12-bit HDR @ 60Hz Uncompressed, 1x 12288 x 6912 (12K) @ 120Hz with DSC","Yes","Yes","Yes","Yes","","","","Yes","Yes","Yes","12.0 Ultimate","4.6","2.1","1.3","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , Linux x86 64-Bit","1x Encode & Decode (AV1) , 2x Decode (H265∕HEVC，4K H264) , 2x Encode (H265∕HEVC，4K H264)","AMD Viewport Boost , AMD Remote Workstation , AMD Radeon™ Media Engine , AMD Software PRO Edition , AMD Radeon™ VR Ready Creator , AMD Radeon™ ProRender","1448","2.87"
"AMD Radeon™ PRO W7800","Radeon PRO","Radeon PRO W7000 Series","Workstations","","AMD RDNA™ 3","Yes","TSMC 5nm GCD 6nm MCD","70","140","4480","70","","45.2 TFLOPs","","45.2 TFLOPs","","181 TOPs","90.4 TOPs","","90.4 TFLOPs","","","","","57.7 Billion","","2x8-Pin","260W","700W","32 GB","GDDR6","64 MB","256-bit","","576 GB/s","Yes","PCIe® Add-in Card","PCIe® 4.0 x16 (3.0 Backward Compatible)","","Active","3x DisplayPort™ 2.1 and 1x Enhanced Mini DisplayPort™ 2.1","","","","","4x 4096 x 2160 (4K DCI) @ 120Hz with DSC, 2x 6144 x 3456 (6K) 12-bit HDR @ 60Hz Uncompressed, 1x 7680 x 4320 (8K) 12-bit HDR @ 60Hz Uncompressed, 1x 12288 x 6912 (12K) @ 120Hz with DSC","Yes","Yes","Yes","Yes","Full Height","11"" (280mm)","Double Slot","Yes","Yes","Yes","12.0 Ultimate","4.6","2.1","1.3","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , Linux x86 64-Bit","1x Encode & Decode (AV1) , 2x Decode (H265∕HEVC，4K H264) , 2x Encode (H265∕HEVC，4K H264)","AMD Viewport Boost , AMD Remote Workstation , AMD Radeon™ Media Engine , AMD Software PRO Edition , AMD Radeon™ VR Ready Creator , AMD Radeon™ ProRender","1448","2.87"
"AMD Radeon™ PRO W7700","Radeon PRO","Radeon PRO W7000 Series","Workstations","","AMD RDNA™ 3","Yes","TSMC 5nm GCD 6nm MCD","48","96","3072","48","","28.3 TFLOPs","","28.3 TFLOPs","","113 TOPs","56.6 TOPs","","56.6 TFLOPs","","","","","28.1 Billion","","1x8-Pin","190W","650W","16 GB","GDDR6","64 MB","256-bit","","576 GB/s","Yes","PCIe® Add-in Card","PCIe® 4.0 x16 (3.0 Backward Compatible)","","Active","4x DisplayPort™ 2.1 (UHBR 13.5)","","","","","4x 4096 x 2160 (4K DCI) @ 120Hz with DSC, 2x 6144 x 3456 (6K) 12-bit HDR @ 60Hz Uncompressed, 1x 7680 x 4320 (8K) 12-bit HDR @ 60Hz Uncompressed, 1x 12288 x 6912 (12K) @ 120Hz with DSC","Yes","Yes","Yes","Yes","Full Height","9.5"" (241 mm)","Double Slot","Yes","Yes","Yes","12.0 Ultimate","4.6","2.1","1.3","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , Linux x86 64-Bit","1x Encode & Decode (AV1) , 2x Decode (H265∕HEVC，H264) , 2x Encode (H265∕HEVC，H264)","AMD Viewport Boost , AMD Remote Workstation , AMD Radeon™ Media Engine , AMD Software PRO Edition , AMD Radeon™ VR Ready Creator , AMD Radeon™ ProRender","",""
"AMD Radeon™ PRO W7600","Radeon PRO","Radeon PRO W7000 Series","Workstations","","AMD RDNA™ 3","Yes","TSMC 6nm","32","64","2048","32","","20 TFLOPs","","20 TFLOPs","","80 TOPs","40 TOPs","","40 TFLOPs","","","","","13.3 Billion","","1x6-Pin","130W","500 W","8 GB","GDDR6","32 MB","128-bit","","288 GB/s","No","PCIe® Add-in Card","PCIe® 4.0 x8","","Active","DisplayPort™: 4x DP 2.1","","","","","","Yes","Yes","","","Full Height","9.5"" (241 mm)","Single Slot","Yes","Yes","Yes","12.0 Ultimate","4.6","2.1","1.3","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , Linux x86 64-Bit","1x Decode (+AV1 Encode and Decode) , 1x Encode","AMD Viewport Boost , AMD Remote Workstation , AMD Radeon™ Media Engine , AMD Software PRO Edition , AMD Radeon™ VR Ready Creator , AMD Radeon™ ProRender","",""
